https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume ETH,tradecount
1700438400000,2023-11-20,ADAETH,0.000191,0.0001961,0.000187,0.0001882,1306401.0,250.2347703,3884
1700352000000,2023-11-19,ADAETH,0.0001926,0.0001937,0.0001895,0.0001909,1078925.4,206.74608469,3310
1700265600000,2023-11-18,ADAETH,0.0001872,0.0001928,0.0001819,0.0001923,1110458.2,208.2074455,3565
1700179200000,2023-11-17,ADAETH,0.0001889,0.0001909,0.0001846,0.0001873,1088578.8,204.50778877,3999
1700092800000,2023-11-16,ADAETH,0.0001841,0.0002,0.0001831,0.0001892,3622733.2,692.97732029,10498
1700006400000,2023-11-15,ADAETH,0.0001807,0.0001853,0.0001798,0.0001839,1505841.0,274.04584144,3067
1699920000000,2023-11-14,ADAETH,0.0001737,0.0001812,0.0001715,0.0001808,1210711.4,214.27689953,4368
1699833600000,2023-11-13,ADAETH,0.0001875,0.0001877,0.0001726,0.0001737,2150147.7,386.0167387,4793
1699747200000,2023-11-12,ADAETH,0.0001874,0.0001905,0.0001835,0.0001876,1205119.8,225.16837479,4184
1699660800000,2023-11-11,ADAETH,0.0001858,0.0001909,0.0001815,0.0001872,2554203.0,474.88416667,6967
1699574400000,2023-11-10,ADAETH,0.0001736,0.0001867,0.0001733,0.0001859,2140421.2,380.77173853,5978
1699488000000,2023-11-09,ADAETH,0.0001893,0.000198,0.0001723,0.0001737,3395706.4,632.0428071,10360
1699401600000,2023-11-08,ADAETH,0.0001864,0.000191,0.0001855,0.0001895,847615.7,159.6498625,2627
1699315200000,2023-11-07,ADAETH,0.0001908,0.0001925,0.0001801,0.0001863,1503932.5,280.03252371,4876
1699228800000,2023-11-06,ADAETH,0.0001809,0.0001986,0.0001806,0.0001907,2062449.7,389.09422409,5876
1699142400000,2023-11-05,ADAETH,0.0001768,0.0001855,0.0001751,0.0001806,1315312.8,237.75827746,4040
1699056000000,2023-11-04,ADAETH,0.0001797,0.0001802,0.0001754,0.0001766,594837.8,105.54202268,1677
1698969600000,2023-11-03,ADAETH,0.0001795,0.0001818,0.0001742,0.0001797,1366017.2,242.77293526,5144
1698883200000,2023-11-02,ADAETH,0.0001666,0.0001823,0.0001649,0.0001795,2647353.7,459.71991281,7834
1698796800000,2023-11-01,ADAETH,0.0001614,0.000167,0.000158,0.0001663,1721745.4,278.24590736,3468
1698710400000,2023-10-31,ADAETH,0.0001675,0.0001682,0.0001598,0.0001615,2088749.4,343.46147351,3455
1698624000000,2023-10-30,ADAETH,0.0001646,0.0001676,0.0001627,0.0001674,880663.2,145.67465819,1977
1698537600000,2023-10-29,ADAETH,0.0001637,0.0001659,0.0001633,0.0001644,625347.2,102.97385364,1317
1698451200000,2023-10-28,ADAETH,0.0001627,0.0001661,0.0001621,0.0001638,518493.6,85.01803268,1407
1698364800000,2023-10-27,ADAETH,0.0001594,0.000164,0.0001575,0.0001626,799655.1,129.02317462,2323
1698278400000,2023-10-26,ADAETH,0.0001571,0.000163,0.0001569,0.0001592,2070622.9,331.64937828,5232
1698192000000,2023-10-25,ADAETH,0.0001563,0.0001599,0.0001558,0.0001571,797038.3,125.66721098,2305
1698105600000,2023-10-24,ADAETH,0.0001591,0.0001595,0.0001534,0.0001564,1418224.9,221.81774989,4373
1698019200000,2023-10-23,ADAETH,0.0001588,0.0001596,0.0001562,0.000159,1251934.2,197.49262681,3335
1697932800000,2023-10-22,ADAETH,0.0001588,0.0001602,0.0001572,0.0001585,489964.1,77.79892483,1437
1697846400000,2023-10-21,ADAETH,0.0001567,0.0001608,0.0001562,0.0001588,717579.9,114.23217424,1701
1697760000000,2023-10-20,ADAETH,0.0001576,0.0001578,0.0001548,0.0001566,521418.2,81.39384128,1127
1697673600000,2023-10-19,ADAETH,0.0001554,0.0001576,0.0001549,0.0001575,616702.9,96.39051228,1008
1697587200000,2023-10-18,ADAETH,0.0001574,0.0001574,0.0001554,0.0001555,488595.4,76.26685697,960
1697500800000,2023-10-17,ADAETH,0.0001569,0.0001589,0.0001564,0.0001574,833920.7,131.48788727,1196
1697414400000,2023-10-16,ADAETH,0.0001588,0.0001602,0.000157,0.000157,541389.2,86.05264832,1464
1697328000000,2023-10-15,ADAETH,0.0001587,0.0001595,0.0001577,0.0001588,387003.0,61.24982177,578
1697241600000,2023-10-14,ADAETH,0.0001587,0.0001596,0.0001583,0.0001588,288623.9,45.85020227,507
1697155200000,2023-10-13,ADAETH,0.0001598,0.0001602,0.0001584,0.0001586,320203.4,51.01865232,737
1697068800000,2023-10-12,ADAETH,0.0001582,0.0001603,0.0001574,0.0001596,400638.9,63.61586166,843
1696982400000,2023-10-11,ADAETH,0.0001588,0.0001589,0.0001571,0.0001583,359627.8,56.84831389,899
1696896000000,2023-10-10,ADAETH,0.000159,0.0001595,0.0001576,0.000159,472345.5,74.94621089,1114
1696809600000,2023-10-09,ADAETH,0.0001571,0.0001607,0.0001562,0.0001592,544871.2,86.37643796,1560
1696723200000,2023-10-08,ADAETH,0.000158,0.0001583,0.0001566,0.000157,348371.1,54.91236812,684
1696636800000,2023-10-07,ADAETH,0.0001608,0.0001614,0.0001569,0.0001583,847342.4,134.59828443,1356
1696550400000,2023-10-06,ADAETH,0.0001615,0.0001625,0.0001603,0.0001609,349903.0,56.4870897,1060
1696464000000,2023-10-05,ADAETH,0.0001572,0.0001627,0.0001566,0.0001614,623272.7,99.62404498,1813
1696377600000,2023-10-04,ADAETH,0.0001575,0.0001581,0.0001548,0.0001572,612634.7,95.67259179,1424
1696291200000,2023-10-03,ADAETH,0.0001559,0.0001595,0.0001554,0.0001576,743348.9,117.10641896,1935
1696204800000,2023-10-02,ADAETH,0.0001533,0.0001586,0.0001527,0.0001558,1309902.9,204.28541974,2605
1696118400000,2023-10-01,ADAETH,0.000152,0.0001564,0.0001517,0.0001532,1023072.2,157.58837534,2538
1696032000000,2023-09-30,ADAETH,0.0001496,0.0001521,0.0001486,0.0001519,309662.9,46.45152828,1607
1695945600000,2023-09-29,ADAETH,0.0001506,0.0001529,0.0001485,0.0001495,728083.9,109.95092732,1931
1695859200000,2023-09-28,ADAETH,0.0001531,0.0001531,0.0001497,0.0001506,485679.1,73.27150866,1391
1695772800000,2023-09-27,ADAETH,0.0001539,0.0001544,0.0001517,0.000153,584973.4,89.38517534,1060
1695686400000,2023-09-26,ADAETH,0.0001548,0.0001554,0.0001535,0.0001541,337349.8,52.19518588,709
1695600000000,2023-09-25,ADAETH,0.0001535,0.0001556,0.0001535,0.0001548,444397.9,68.7805382,907
1695513600000,2023-09-24,ADAETH,0.0001543,0.0001546,0.0001533,0.0001536,543189.3,83.67500582,798
1695427200000,2023-09-23,ADAETH,0.0001538,0.0001549,0.0001532,0.0001544,356162.9,54.90701449,660
1695340800000,2023-09-22,ADAETH,0.0001547,0.0001552,0.0001528,0.0001536,509105.0,78.34000833,981
1695254400000,2023-09-21,ADAETH,0.0001551,0.0001573,0.0001538,0.0001547,1171587.1,182.83972992,1684
1695168000000,2023-09-20,ADAETH,0.0001551,0.0001569,0.0001545,0.000155,453482.7,70.60430163,1292
1695081600000,2023-09-19,ADAETH,0.0001537,0.000156,0.0001537,0.0001551,326691.8,50.685009,1161
1694995200000,2023-09-18,ADAETH,0.0001522,0.0001548,0.0001516,0.0001536,621935.3,95.47231012,1330
1694908800000,2023-09-17,ADAETH,0.0001531,0.000154,0.0001509,0.0001523,391189.3,59.67643887,1111
1694822400000,2023-09-16,ADAETH,0.0001527,0.0001541,0.000152,0.0001531,298342.2,45.66519716,846
