https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ALPACA,Volume USDT,tradecount
1700524800000,2023-11-21,ALPACAUSDT,0.1698,0.1715,0.1453,0.1473,6099072.0,977008.17709,10350
1700438400000,2023-11-20,ALPACAUSDT,0.1706,0.1755,0.1677,0.1699,3081745.8,525917.85752,6026
1700352000000,2023-11-19,ALPACAUSDT,0.1677,0.1714,0.1648,0.1706,1388619.2,234203.11626,3246
1700265600000,2023-11-18,ALPACAUSDT,0.1721,0.1721,0.1632,0.1677,1547602.3,257837.50638,3509
1700179200000,2023-11-17,ALPACAUSDT,0.1728,0.1756,0.165,0.1721,3753931.0,637639.96879,6129
1700092800000,2023-11-16,ALPACAUSDT,0.1814,0.1824,0.1713,0.1728,3666229.3,649472.37864,6291
1700006400000,2023-11-15,ALPACAUSDT,0.1766,0.1836,0.1763,0.1814,3607614.3,648539.75146,6992
1699920000000,2023-11-14,ALPACAUSDT,0.1793,0.1829,0.1693,0.1766,4196891.6,740450.23602,7169
1699833600000,2023-11-13,ALPACAUSDT,0.1891,0.1917,0.1781,0.1794,5287443.7,982268.86812,10166
1699747200000,2023-11-12,ALPACAUSDT,0.1835,0.1938,0.1803,0.189,7443983.4,1403240.93262,10621
1699660800000,2023-11-11,ALPACAUSDT,0.1817,0.188,0.1773,0.1832,5767169.0,1050515.63089,10025
1699574400000,2023-11-10,ALPACAUSDT,0.1756,0.1899,0.1738,0.1817,8570678.5,1554049.89877,12923
1699488000000,2023-11-09,ALPACAUSDT,0.1741,0.1839,0.168,0.1758,5547412.0,978490.65988,8964
1699401600000,2023-11-08,ALPACAUSDT,0.175,0.178,0.1711,0.1742,2968350.8,519341.30063,5922
1699315200000,2023-11-07,ALPACAUSDT,0.1784,0.1787,0.1701,0.1749,5464246.0,952750.5794,6776
1699228800000,2023-11-06,ALPACAUSDT,0.1751,0.18,0.1691,0.1787,7617063.3,1326692.32158,9849
1699142400000,2023-11-05,ALPACAUSDT,0.1715,0.1979,0.17,0.175,24579695.1,4430317.074,26603
1699056000000,2023-11-04,ALPACAUSDT,0.1674,0.1727,0.1665,0.1713,3626430.9,613845.48935,5498
1698969600000,2023-11-03,ALPACAUSDT,0.1708,0.1709,0.1631,0.1671,9099435.6,1505792.73877,7321
1698883200000,2023-11-02,ALPACAUSDT,0.165,0.173,0.1645,0.1708,7895160.8,1331621.25059,9428
1698796800000,2023-11-01,ALPACAUSDT,0.1638,0.167,0.16,0.165,4270894.9,696967.762,7532
1698710400000,2023-10-31,ALPACAUSDT,0.1677,0.1721,0.1604,0.1638,5829536.5,968896.16831,8667
1698624000000,2023-10-30,ALPACAUSDT,0.1608,0.1709,0.1607,0.1677,8312284.3,1379261.74496,10207
1698537600000,2023-10-29,ALPACAUSDT,0.1604,0.165,0.1572,0.1608,6177217.7,998116.77872,8437
1698451200000,2023-10-28,ALPACAUSDT,0.1602,0.1705,0.1592,0.1606,11379563.2,1876490.70961,13881
1698364800000,2023-10-27,ALPACAUSDT,0.1756,0.1759,0.1457,0.1601,13501433.0,2137320.06457,19974
1698278400000,2023-10-26,ALPACAUSDT,0.175,0.177,0.1703,0.1756,3614784.7,631174.70181,6187
1698192000000,2023-10-25,ALPACAUSDT,0.1771,0.1898,0.1728,0.175,8924322.4,1606113.51054,14997
1698105600000,2023-10-24,ALPACAUSDT,0.1723,0.1825,0.1683,0.1768,8413670.9,1469255.96906,13396
1698019200000,2023-10-23,ALPACAUSDT,0.1657,0.1754,0.1633,0.1725,5318349.4,890205.19751,9249
1697932800000,2023-10-22,ALPACAUSDT,0.1661,0.172,0.1594,0.1657,7840954.0,1294567.85366,10242
1697846400000,2023-10-21,ALPACAUSDT,0.1625,0.1827,0.1625,0.1662,18056499.2,3109973.39901,26492
1697760000000,2023-10-20,ALPACAUSDT,0.1555,0.1669,0.1541,0.1625,5951737.5,963270.51931,9609
1697673600000,2023-10-19,ALPACAUSDT,0.1578,0.1649,0.1518,0.1555,10527657.4,1663897.0463,15896
1697587200000,2023-10-18,ALPACAUSDT,0.1533,0.1911,0.1505,0.1575,53057035.3,9155365.66104,75226
1697500800000,2023-10-17,ALPACAUSDT,0.1655,0.1671,0.1504,0.1532,7363463.5,1155156.47769,10153
1697414400000,2023-10-16,ALPACAUSDT,0.1803,0.1852,0.156,0.1654,27998763.7,4730422.05548,41987
1697328000000,2023-10-15,ALPACAUSDT,0.1359,0.2256,0.1355,0.1803,158804693.1,29472721.02855,255107
1697241600000,2023-10-14,ALPACAUSDT,0.1353,0.1373,0.1338,0.1359,3598768.9,485931.99862,4354
1697155200000,2023-10-13,ALPACAUSDT,0.1363,0.1372,0.1334,0.1352,4755744.2,642882.99633,5966
1697068800000,2023-10-12,ALPACAUSDT,0.1392,0.1486,0.134,0.1365,14634256.5,2059189.99631,22996
1696982400000,2023-10-11,ALPACAUSDT,0.1424,0.1432,0.1367,0.1395,6767971.6,941378.54741,9233
1696896000000,2023-10-10,ALPACAUSDT,0.1512,0.1577,0.1389,0.1423,16343493.2,2442763.23516,26679
1696809600000,2023-10-09,ALPACAUSDT,0.1584,0.1934,0.1496,0.1513,58376523.0,10049365.91551,93731
1696723200000,2023-10-08,ALPACAUSDT,0.1736,0.1767,0.1514,0.1581,38604331.3,6271746.79069,65350
1696636800000,2023-10-07,ALPACAUSDT,0.1311,0.1842,0.1305,0.1736,123111042.8,20803176.0722,189484
1696550400000,2023-10-06,ALPACAUSDT,0.1301,0.1318,0.1295,0.1312,626075.8,81823.06684,2208
1696464000000,2023-10-05,ALPACAUSDT,0.1323,0.1328,0.13,0.13,826937.4,108520.4572,1815
1696377600000,2023-10-04,ALPACAUSDT,0.1345,0.1345,0.1311,0.1324,1161654.7,153649.23674,1948
1696291200000,2023-10-03,ALPACAUSDT,0.136,0.1405,0.1344,0.1344,2962266.0,407170.08828,5075
1696204800000,2023-10-02,ALPACAUSDT,0.1404,0.1415,0.1345,0.1361,1568547.4,216389.14445,3556
1696118400000,2023-10-01,ALPACAUSDT,0.1372,0.1426,0.1363,0.1404,1997735.5,277506.09977,3956
1696032000000,2023-09-30,ALPACAUSDT,0.1359,0.1383,0.1348,0.137,1635283.8,223426.61004,2464
1695945600000,2023-09-29,ALPACAUSDT,0.1337,0.1362,0.1332,0.1358,747890.6,100604.40348,1630
1695859200000,2023-09-28,ALPACAUSDT,0.1329,0.1343,0.1306,0.1339,1204019.7,160203.92944,1960
1695772800000,2023-09-27,ALPACAUSDT,0.1341,0.1351,0.132,0.133,937111.5,125119.66088,2028
1695686400000,2023-09-26,ALPACAUSDT,0.1357,0.1366,0.1327,0.1338,884282.7,119078.81512,1525
1695600000000,2023-09-25,ALPACAUSDT,0.134,0.1372,0.1327,0.1358,1231690.6,165647.53924,2179
1695513600000,2023-09-24,ALPACAUSDT,0.138,0.1399,0.1333,0.134,1506594.4,205425.97439,2444
1695427200000,2023-09-23,ALPACAUSDT,0.1359,0.1381,0.1351,0.1378,1381895.1,188664.22044,2224
1695340800000,2023-09-22,ALPACAUSDT,0.1335,0.1364,0.1324,0.1358,875797.8,117787.16916,2865
1695254400000,2023-09-21,ALPACAUSDT,0.1384,0.1406,0.1321,0.1336,1325048.2,180117.54889,4014
1695168000000,2023-09-20,ALPACAUSDT,0.1351,0.1389,0.1348,0.1382,2029712.7,276923.67253,4028
1695081600000,2023-09-19,ALPACAUSDT,0.1351,0.1358,0.1339,0.1351,699406.1,94253.16878,1876
1694995200000,2023-09-18,ALPACAUSDT,0.1316,0.1364,0.1302,0.1354,1292067.1,173212.40625,2985
1694908800000,2023-09-17,ALPACAUSDT,0.1346,0.1377,0.1297,0.1315,3898683.2,524557.43944,6437
1694822400000,2023-09-16,ALPACAUSDT,0.1315,0.1354,0.1311,0.1348,1858334.1,248332.36803,2822
1694736000000,2023-09-15,ALPACAUSDT,0.1291,0.132,0.1283,0.1316,1138613.9,147725.98073,2304
1694649600000,2023-09-14,ALPACAUSDT,0.1295,0.1319,0.1282,0.1291,1327197.5,172640.33934,2396
1694563200000,2023-09-13,ALPACAUSDT,0.1276,0.1308,0.1268,0.1295,1714509.0,220437.46711,2305
1694476800000,2023-09-12,ALPACAUSDT,0.1269,0.1361,0.126,0.1278,5860555.3,771275.51326,6902
1694390400000,2023-09-11,ALPACAUSDT,0.1302,0.1319,0.1264,0.1267,1426751.3,184645.09354,2514
1694304000000,2023-09-10,ALPACAUSDT,0.1345,0.1346,0.1278,0.13,1991775.8,261708.56126,3128
1694217600000,2023-09-09,ALPACAUSDT,0.1358,0.1364,0.134,0.1349,895571.3,120910.6021,1274
1694131200000,2023-09-08,ALPACAUSDT,0.1361,0.1392,0.134,0.1358,1874700.8,255101.29612,2536
1694044800000,2023-09-07,ALPACAUSDT,0.1345,0.137,0.1315,0.1361,2551461.3,342693.12483,3339
1693958400000,2023-09-06,ALPACAUSDT,0.1328,0.1362,0.1321,0.134,2511435.5,336729.1197,3367
1693872000000,2023-09-05,ALPACAUSDT,0.1341,0.1346,0.1303,0.1329,3526580.9,467438.89047,4208
1693785600000,2023-09-04,ALPACAUSDT,0.1322,0.1513,0.1314,0.1339,12980915.0,1808650.13376,16459
1693699200000,2023-09-03,ALPACAUSDT,0.1348,0.1362,0.1316,0.1323,1659045.1,221842.96629,2282
1693612800000,2023-09-02,ALPACAUSDT,0.1325,0.1352,0.1316,0.1347,1801195.1,240237.25492,2693
1693526400000,2023-09-01,ALPACAUSDT,0.1342,0.1404,0.1307,0.1324,4774198.8,649072.71938,7102
1693440000000,2023-08-31,ALPACAUSDT,0.1355,0.1389,0.1334,0.1342,1843731.4,251174.77829,3264
1693353600000,2023-08-30,ALPACAUSDT,0.1389,0.1391,0.1353,0.1354,1048941.6,143861.32971,1641
1693267200000,2023-08-29,ALPACAUSDT,0.1357,0.1393,0.1321,0.1389,2385132.7,324682.45258,2813
1693180800000,2023-08-28,ALPACAUSDT,0.1356,0.1409,0.1332,0.1357,3849270.5,525647.64112,4478
1693094400000,2023-08-27,ALPACAUSDT,0.1348,0.1368,0.1341,0.1355,800225.3,108302.49277,824
1693008000000,2023-08-26,ALPACAUSDT,0.1354,0.1383,0.1343,0.1349,757484.1,103189.98033,1083
1692921600000,2023-08-25,ALPACAUSDT,0.1372,0.1475,0.1335,0.1356,10707966.9,1489534.01096,11094
1692835200000,2023-08-24,ALPACAUSDT,0.1415,0.1424,0.136,0.1372,2746274.8,379132.44808,2558
1692748800000,2023-08-23,ALPACAUSDT,0.1388,0.144,0.137,0.1414,2838437.9,398501.99213,4387
1692662400000,2023-08-22,ALPACAUSDT,0.1425,0.1425,0.1355,0.1389,3245657.2,448176.3742,5036
1692576000000,2023-08-21,ALPACAUSDT,0.1436,0.1494,0.1408,0.1424,6995213.6,1014023.93474,10624
1692489600000,2023-08-20,ALPACAUSDT,0.1405,0.1474,0.1389,0.1432,4157037.1,592489.53039,5584
1692403200000,2023-08-19,ALPACAUSDT,0.1372,0.1439,0.1367,0.1398,4021768.4,561352.55546,5118
1692316800000,2023-08-18,ALPACAUSDT,0.1338,0.1394,0.1319,0.1367,3851427.0,520330.20321,5448
1692230400000,2023-08-17,ALPACAUSDT,0.1395,0.1532,0.1312,0.1336,15068594.5,2166434.45713,24247
1692144000000,2023-08-16,ALPACAUSDT,0.1472,0.1477,0.139,0.1396,5210354.3,743529.55323,5000
1692057600000,2023-08-15,ALPACAUSDT,0.1513,0.1591,0.1433,0.1469,19791209.6,2992643.70182,22565
1691971200000,2023-08-14,ALPACAUSDT,0.1531,0.1533,0.1504,0.1513,1325458.0,201142.25362,1994
1691884800000,2023-08-13,ALPACAUSDT,0.1505,0.1546,0.1503,0.1531,1593012.4,242764.20739,2341
1691798400000,2023-08-12,ALPACAUSDT,0.1495,0.1546,0.1487,0.1503,2431519.5,368083.83049,2386
1691712000000,2023-08-11,ALPACAUSDT,0.1502,0.1518,0.1489,0.1494,1280529.7,192293.08494,1855
1691625600000,2023-08-10,ALPACAUSDT,0.1494,0.1525,0.1482,0.1502,2510043.5,377095.13286,2925
1691539200000,2023-08-09,ALPACAUSDT,0.1518,0.1626,0.1492,0.1494,5968994.8,928314.91613,7306
1691452800000,2023-08-08,ALPACAUSDT,0.151,0.1554,0.1473,0.1518,4739261.8,714098.03578,4590
1691366400000,2023-08-07,ALPACAUSDT,0.1571,0.1587,0.1479,0.1509,5503457.7,844744.57262,5631
1691280000000,2023-08-06,ALPACAUSDT,0.1599,0.1619,0.155,0.157,7449148.9,1179180.17835,7741
1691193600000,2023-08-05,ALPACAUSDT,0.1571,0.181,0.155,0.1599,35748573.1,6043183.89633,43069
1691107200000,2023-08-04,ALPACAUSDT,0.1638,0.1666,0.1566,0.1572,7301820.0,1174488.98483,7870
1691020800000,2023-08-03,ALPACAUSDT,0.1697,0.1777,0.1634,0.1638,12689964.6,2132415.71988,16519
1690934400000,2023-08-02,ALPACAUSDT,0.1765,0.1977,0.1689,0.1702,39649051.6,7088265.52851,54762
1690848000000,2023-08-01,ALPACAUSDT,0.2187,0.265,0.1661,0.1765,147456378.4,30749755.21249,239167
