https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTCDOWN,Volume USDT,tradecount
1700179200000,2023-11-17,BTCDOWNUSDT,0.004167,0.00425,0.003965,0.004072,175457418.18,724040.8468926,10284
1700092800000,2023-11-16,BTCDOWNUSDT,0.003761,0.00434,0.003744,0.004166,349942014.27,1403076.52997639,32355
1700006400000,2023-11-15,BTCDOWNUSDT,0.00437,0.004416,0.00374,0.00376,338892664.22,1368423.84199413,23706
1699920000000,2023-11-14,BTCDOWNUSDT,0.004129,0.0046,0.004051,0.00437,274765953.82,1168055.18631782,22449
1699833600000,2023-11-13,BTCDOWNUSDT,0.003984,0.004161,0.0039,0.004129,187535108.81,757813.09045001,10954
1699747200000,2023-11-12,BTCDOWNUSDT,0.003953,0.004054,0.00393,0.003984,116078826.03,461583.54893869,6274
1699660800000,2023-11-11,BTCDOWNUSDT,0.003916,0.004081,0.0039,0.003952,148489624.05,589991.86686781,9335
1699574400000,2023-11-10,BTCDOWNUSDT,0.004073,0.004159,0.003864,0.003917,227515081.34,909050.02144209,14749
1699488000000,2023-11-09,BTCDOWNUSDT,0.00438,0.004395,0.003725,0.004066,577949522.08,2344316.94213308,42657
1699401600000,2023-11-08,BTCDOWNUSDT,0.004446,0.00452,0.00424,0.004372,166112354.24,732798.13698074,11934
1699315200000,2023-11-07,BTCDOWNUSDT,0.00454,0.004698,0.004303,0.004439,193478787.11,873778.90304576,16435
1699228800000,2023-11-06,BTCDOWNUSDT,0.004553,0.004625,0.00448,0.004534,119971190.17,545462.17664355,9790
1699142400000,2023-11-05,BTCDOWNUSDT,0.00454,0.004713,0.004445,0.004553,127617485.92,580312.98683828,11646
1699056000000,2023-11-04,BTCDOWNUSDT,0.004637,0.004675,0.004461,0.00454,89085771.06,409731.53210613,6832
1698969600000,2023-11-03,BTCDOWNUSDT,0.00457,0.004798,0.00457,0.004637,144580214.45,679086.47852972,14358
1698883200000,2023-11-02,BTCDOWNUSDT,0.004438,0.004744,0.004277,0.00457,220555382.31,994498.57124708,19107
1698796800000,2023-11-01,BTCDOWNUSDT,0.004654,0.00481,0.004357,0.004437,225120673.64,1037204.76946676,17665
1698710400000,2023-10-31,BTCDOWNUSDT,0.004704,0.004824,0.00462,0.004664,117287783.19,554410.81288819,9664
1698624000000,2023-10-30,BTCDOWNUSDT,0.004675,0.004813,0.004586,0.004699,131637841.89,618743.87685792,10480
1698537600000,2023-10-29,BTCDOWNUSDT,0.00481,0.00485,0.004616,0.004686,112803973.81,532000.27255608,8823
1698451200000,2023-10-28,BTCDOWNUSDT,0.004857,0.004875,0.004695,0.004802,72474505.82,347530.16583093,4518
1698364800000,2023-10-27,BTCDOWNUSDT,0.004782,0.005,0.004759,0.004856,154248049.42,748655.46953597,11695
1698278400000,2023-10-26,BTCDOWNUSDT,0.004693,0.004898,0.004561,0.00478,210187220.15,998859.82692793,14230
1698192000000,2023-10-25,BTCDOWNUSDT,0.004856,0.004929,0.004484,0.004683,233997990.51,1100324.18344233,19124
1698105600000,2023-10-24,BTCDOWNUSDT,0.005124,0.005188,0.004481,0.004859,464129626.0,2228337.4551937,40421
1698019200000,2023-10-23,BTCDOWNUSDT,0.006445,0.006495,0.003994,0.005125,366071152.48,2090740.90871282,30466
1697932800000,2023-10-22,BTCDOWNUSDT,0.006504,0.006615,0.00635,0.006445,67233555.17,436677.44825421,6422
1697846400000,2023-10-21,BTCDOWNUSDT,0.006644,0.006742,0.006285,0.006505,87290286.07,568623.11008578,9517
1697760000000,2023-10-20,BTCDOWNUSDT,0.007196,0.007267,0.00631,0.006638,163624277.61,1098015.54913485,14156
1697673600000,2023-10-19,BTCDOWNUSDT,0.007399,0.007526,0.00707,0.007196,61995646.71,451523.00088015,7704
1697587200000,2023-10-18,BTCDOWNUSDT,0.007389,0.0075,0.007025,0.007392,57275529.25,420490.56575958,7021
1697500800000,2023-10-17,BTCDOWNUSDT,0.007324,0.00756,0.007243,0.007385,68012678.54,502387.82344556,10136
1697414400000,2023-10-16,BTCDOWNUSDT,0.00826,0.008275,0.00601,0.007324,200758786.11,1504499.95993467,22163
1697328000000,2023-10-15,BTCDOWNUSDT,0.008444,0.008475,0.008164,0.008257,36640535.88,305750.70815926,4091
1697241600000,2023-10-14,BTCDOWNUSDT,0.008443,0.008486,0.008367,0.008446,17706202.82,149133.09855126,2387
1697155200000,2023-10-13,BTCDOWNUSDT,0.008526,0.008572,0.008275,0.008442,39079311.43,330435.0193613,3469
1697068800000,2023-10-12,BTCDOWNUSDT,0.008417,0.00865,0.008397,0.008513,47831453.07,407106.45217331,4913
1696982400000,2023-10-11,BTCDOWNUSDT,0.008077,0.008641,0.007982,0.008431,88416707.17,738870.86061018,15688
1696896000000,2023-10-10,BTCDOWNUSDT,0.007953,0.008132,0.00788,0.008077,62164999.37,498473.37972014,8102
1696809600000,2023-10-09,BTCDOWNUSDT,0.00775,0.00815,0.00771,0.007956,88868304.9,707658.27629115,12019
1696723200000,2023-10-08,BTCDOWNUSDT,0.007726,0.00788,0.00766,0.007748,42472903.72,329753.03767237,3722
1696636800000,2023-10-07,BTCDOWNUSDT,0.00777,0.007831,0.007675,0.007728,37896287.58,293930.70659565,3083
1696550400000,2023-10-06,BTCDOWNUSDT,0.008078,0.008235,0.0075,0.007769,111815217.14,879943.71567331,10987
1696464000000,2023-10-05,BTCDOWNUSDT,0.007844,0.0081,0.007663,0.008078,88117800.13,697147.98504572,10704
1696377600000,2023-10-04,BTCDOWNUSDT,0.008057,0.008198,0.007822,0.007842,68695439.95,549659.69944143,8034
1696291200000,2023-10-03,BTCDOWNUSDT,0.00802,0.00822,0.007905,0.008068,82968836.89,666885.24407743,13214
1696204800000,2023-10-02,BTCDOWNUSDT,0.007768,0.008149,0.007364,0.008023,230540131.4,1775445.71540138,20591
1696118400000,2023-10-01,BTCDOWNUSDT,0.008504,0.008513,0.007532,0.007777,100955466.26,817257.78940565,11349
1696032000000,2023-09-30,BTCDOWNUSDT,0.008539,0.008552,0.0084,0.008486,28704574.17,243595.26964885,3138
1695945600000,2023-09-29,BTCDOWNUSDT,0.00848,0.008701,0.008306,0.008535,66653967.84,567145.453424,6958
1695859200000,2023-09-28,BTCDOWNUSDT,0.008972,0.009,0.008271,0.008489,115376736.55,991555.19279178,13004
1695772800000,2023-09-27,BTCDOWNUSDT,0.009063,0.009146,0.008602,0.008966,83624167.62,742308.65112891,12964
1695686400000,2023-09-26,BTCDOWNUSDT,0.009003,0.009178,0.008933,0.009063,29816312.0,270258.84866074,3143
1695600000000,2023-09-25,BTCDOWNUSDT,0.009058,0.009225,0.008901,0.00901,48028595.97,435898.29246244,8633
1695513600000,2023-09-24,BTCDOWNUSDT,0.00879,0.00915,0.008695,0.009047,28893118.21,255938.3091114,4241
1695427200000,2023-09-23,BTCDOWNUSDT,0.008821,0.008862,0.008759,0.008808,16974986.5,149385.93034123,2078
1695340800000,2023-09-22,BTCDOWNUSDT,0.008816,0.008895,0.00868,0.008802,36380858.29,319225.1740568,3593
1695254400000,2023-09-21,BTCDOWNUSDT,0.008421,0.008935,0.008393,0.008818,95807835.21,832179.90479948,11864
1695168000000,2023-09-20,BTCDOWNUSDT,0.00834,0.00864,0.008223,0.008407,102666290.76,864008.40701122,11711
1695081600000,2023-09-19,BTCDOWNUSDT,0.008662,0.008732,0.008166,0.008341,118059376.72,989772.00130366,13030
1694995200000,2023-09-18,BTCDOWNUSDT,0.008871,0.008991,0.008221,0.008666,139567182.09,1189988.87661394,16701
