https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume CAKE,Volume USDT,tradecount
1700179200000,2023-11-17,CAKEUSDT,2.541,2.663,2.37,2.486,15687260.7,39394704.1233,144672
1700092800000,2023-11-16,CAKEUSDT,2.693,2.753,2.446,2.54,20843468.68,53977537.13757,189479
1700006400000,2023-11-15,CAKEUSDT,2.339,2.845,2.338,2.692,48692021.57,127114443.14994,415893
1699920000000,2023-11-14,CAKEUSDT,2.112,2.363,2.057,2.34,26799268.06,59870195.19646,199833
1699833600000,2023-11-13,CAKEUSDT,2.172,2.299,2.075,2.111,21635282.04,47077037.46315,157080
1699747200000,2023-11-12,CAKEUSDT,2.367,2.373,2.128,2.172,17781416.63,39182352.9922,136489
1699660800000,2023-11-11,CAKEUSDT,2.017,2.436,1.948,2.367,32180946.39,71033596.74859,229101
1699574400000,2023-11-10,CAKEUSDT,2.017,2.11,1.946,2.017,16945997.52,34040132.11703,114276
1699488000000,2023-11-09,CAKEUSDT,2.167,2.27,1.782,2.017,29196112.09,61232564.78557,210295
1699401600000,2023-11-08,CAKEUSDT,2.193,2.289,2.11,2.167,16898578.49,36737574.60442,118111
1699315200000,2023-11-07,CAKEUSDT,2.383,2.402,2.091,2.191,25430011.72,56756678.31878,191403
1699228800000,2023-11-06,CAKEUSDT,2.371,2.508,2.207,2.382,37362546.12,87737542.09399,291561
1699142400000,2023-11-05,CAKEUSDT,1.86,2.48,1.838,2.372,77886484.78,172986466.09158,552660
1699056000000,2023-11-04,CAKEUSDT,1.513,1.955,1.505,1.86,56896605.27,102670551.90435,437434
1698969600000,2023-11-03,CAKEUSDT,1.562,1.564,1.453,1.514,21390272.39,32265246.24764,135235
1698883200000,2023-11-02,CAKEUSDT,1.335,1.698,1.332,1.562,58883202.01,91430085.87099,380779
1698796800000,2023-11-01,CAKEUSDT,1.233,1.353,1.214,1.335,7480770.32,9575960.51756,37158
1698710400000,2023-10-31,CAKEUSDT,1.248,1.254,1.22,1.232,2445500.15,3021301.84266,14942
1698624000000,2023-10-30,CAKEUSDT,1.24,1.254,1.224,1.247,2824429.79,3502954.38287,15545
1698537600000,2023-10-29,CAKEUSDT,1.231,1.248,1.218,1.24,1816993.32,2238252.91632,10712
1698451200000,2023-10-28,CAKEUSDT,1.223,1.246,1.221,1.23,2656330.07,3273963.27434,15141
1698364800000,2023-10-27,CAKEUSDT,1.209,1.266,1.193,1.223,5291204.58,6505321.15687,25475
1698278400000,2023-10-26,CAKEUSDT,1.19,1.233,1.184,1.208,4256752.23,5140836.89004,22017
1698192000000,2023-10-25,CAKEUSDT,1.193,1.211,1.182,1.19,3124610.43,3735009.04135,15857
1698105600000,2023-10-24,CAKEUSDT,1.185,1.242,1.176,1.193,6903945.97,8334499.81979,33101
1698019200000,2023-10-23,CAKEUSDT,1.119,1.199,1.117,1.184,5303043.52,6105160.21015,27394
1697932800000,2023-10-22,CAKEUSDT,1.118,1.141,1.095,1.118,3771757.37,4217665.8756,16700
1697846400000,2023-10-21,CAKEUSDT,1.061,1.142,1.059,1.118,5997487.99,6634761.68936,23696
1697760000000,2023-10-20,CAKEUSDT,1.053,1.085,1.051,1.061,2517873.94,2687268.64564,13915
1697673600000,2023-10-19,CAKEUSDT,1.065,1.071,1.051,1.054,1617903.46,1713510.56567,11311
1697587200000,2023-10-18,CAKEUSDT,1.103,1.115,1.05,1.064,3033238.31,3285180.54864,16497
1697500800000,2023-10-17,CAKEUSDT,1.149,1.153,1.097,1.102,2229448.43,2501549.36796,12662
1697414400000,2023-10-16,CAKEUSDT,1.135,1.179,1.13,1.15,3311684.45,3805212.13909,17552
1697328000000,2023-10-15,CAKEUSDT,1.107,1.14,1.107,1.135,2909745.89,3269721.33825,14688
1697241600000,2023-10-14,CAKEUSDT,1.09,1.115,1.068,1.106,5079330.62,5526744.69984,22190
1697155200000,2023-10-13,CAKEUSDT,1.094,1.102,1.081,1.09,2158321.17,2350590.42185,15776
1697068800000,2023-10-12,CAKEUSDT,1.115,1.115,1.088,1.095,1909883.81,2099744.51834,11732
1696982400000,2023-10-11,CAKEUSDT,1.151,1.157,1.1,1.115,3340005.12,3751528.65911,18181
1696896000000,2023-10-10,CAKEUSDT,1.147,1.176,1.144,1.152,2737511.84,3164775.30594,14869
1696809600000,2023-10-09,CAKEUSDT,1.18,1.185,1.135,1.147,3563157.67,4120415.20688,16805
1696723200000,2023-10-08,CAKEUSDT,1.183,1.19,1.16,1.179,2225552.87,2614868.57743,13850
1696636800000,2023-10-07,CAKEUSDT,1.193,1.194,1.182,1.184,835248.73,992106.10206,4675
1696550400000,2023-10-06,CAKEUSDT,1.174,1.201,1.172,1.194,1949522.66,2307844.74718,10283
1696464000000,2023-10-05,CAKEUSDT,1.19,1.193,1.17,1.174,1902058.91,2249537.21993,9835
1696377600000,2023-10-04,CAKEUSDT,1.19,1.194,1.174,1.189,2575186.75,3049885.47635,12680
1696291200000,2023-10-03,CAKEUSDT,1.236,1.248,1.181,1.191,5481967.01,6643903.32923,24918
1696204800000,2023-10-02,CAKEUSDT,1.19,1.282,1.184,1.237,9122498.16,11137860.52211,40701
1696118400000,2023-10-01,CAKEUSDT,1.169,1.192,1.161,1.189,2586713.28,3040969.94228,14830
1696032000000,2023-09-30,CAKEUSDT,1.171,1.176,1.16,1.169,1273932.96,1491251.73642,9491
1695945600000,2023-09-29,CAKEUSDT,1.172,1.186,1.167,1.171,1506141.41,1769748.19199,10945
1695859200000,2023-09-28,CAKEUSDT,1.152,1.178,1.149,1.172,1731007.0,2013367.44301,13242
1695772800000,2023-09-27,CAKEUSDT,1.155,1.172,1.148,1.153,1801995.18,2088371.32191,13355
