https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume FIO,Volume BTC,tradecount
1700265600000,2023-11-18,FIOBTC,5.9e-07,6e-07,5.7e-07,5.9e-07,865582.0,0.50608282,219
1700179200000,2023-11-17,FIOBTC,6.2e-07,6.2e-07,5.9e-07,6e-07,1086319.0,0.6562373,358
1700092800000,2023-11-16,FIOBTC,6.2e-07,6.3e-07,6.1e-07,6.2e-07,1087833.0,0.6728739,168
1700006400000,2023-11-15,FIOBTC,6.2e-07,6.4e-07,6.1e-07,6.2e-07,1501740.0,0.95156513,717
1699920000000,2023-11-14,FIOBTC,6.2e-07,6.3e-07,6.1e-07,6.2e-07,922345.0,0.57404468,243
1699833600000,2023-11-13,FIOBTC,6.6e-07,6.6e-07,6.2e-07,6.2e-07,1690534.0,1.07684617,235
1699747200000,2023-11-12,FIOBTC,6.5e-07,6.6e-07,6.3e-07,6.5e-07,2014372.0,1.29723024,653
1699660800000,2023-11-11,FIOBTC,6.4e-07,6.5e-07,6.3e-07,6.5e-07,539093.0,0.34587856,562
1699574400000,2023-11-10,FIOBTC,6.3e-07,6.5e-07,6.2e-07,6.4e-07,1070411.0,0.67756935,414
1699488000000,2023-11-09,FIOBTC,6.7e-07,6.7e-07,6.1e-07,6.3e-07,1135925.0,0.72328356,510
1699401600000,2023-11-08,FIOBTC,6.6e-07,6.8e-07,6.5e-07,6.6e-07,872922.0,0.5823949,563
1699315200000,2023-11-07,FIOBTC,6.8e-07,6.8e-07,6.4e-07,6.6e-07,802612.0,0.53071735,712
1699228800000,2023-11-06,FIOBTC,6.4e-07,6.9e-07,6.4e-07,6.8e-07,1404334.0,0.94270416,854
1699142400000,2023-11-05,FIOBTC,6.4e-07,6.6e-07,6.4e-07,6.4e-07,595974.0,0.38523044,478
1699056000000,2023-11-04,FIOBTC,6.3e-07,6.5e-07,6.2e-07,6.4e-07,425290.0,0.2737865,155
1698969600000,2023-11-03,FIOBTC,6.2e-07,6.4e-07,6.1e-07,6.3e-07,288521.0,0.18070475,128
1698883200000,2023-11-02,FIOBTC,6.2e-07,6.3e-07,6.1e-07,6.3e-07,405462.0,0.25177531,263
1698796800000,2023-11-01,FIOBTC,6.1e-07,6.4e-07,6e-07,6.1e-07,1620584.0,1.00319297,375
1698710400000,2023-10-31,FIOBTC,6.3e-07,6.3e-07,6e-07,6.2e-07,494891.0,0.30459493,219
1698624000000,2023-10-30,FIOBTC,6.2e-07,6.3e-07,6.2e-07,6.3e-07,708710.0,0.44325958,137
1698537600000,2023-10-29,FIOBTC,6.3e-07,6.3e-07,6.1e-07,6.2e-07,280068.0,0.17344189,144
1698451200000,2023-10-28,FIOBTC,6.1e-07,6.3e-07,6.1e-07,6.2e-07,430506.0,0.26667826,109
1698364800000,2023-10-27,FIOBTC,6.2e-07,6.5e-07,6.1e-07,6.1e-07,680860.0,0.42481716,294
1698278400000,2023-10-26,FIOBTC,5.8e-07,6.5e-07,5.8e-07,6.2e-07,5037943.0,3.15109666,818
1698192000000,2023-10-25,FIOBTC,5.9e-07,6e-07,5.8e-07,5.8e-07,586970.0,0.34483745,206
1698105600000,2023-10-24,FIOBTC,5.9e-07,6e-07,5.6e-07,5.9e-07,618731.0,0.35895643,301
1698019200000,2023-10-23,FIOBTC,6.3e-07,6.4e-07,5.7e-07,5.9e-07,689587.0,0.41282643,323
1697932800000,2023-10-22,FIOBTC,6.4e-07,6.4e-07,6.2e-07,6.3e-07,370662.0,0.23398784,113
1697846400000,2023-10-21,FIOBTC,6.3e-07,6.5e-07,6.3e-07,6.4e-07,224813.0,0.14424305,116
1697760000000,2023-10-20,FIOBTC,6.4e-07,6.5e-07,6.2e-07,6.3e-07,809088.0,0.51238518,250
1697673600000,2023-10-19,FIOBTC,6.6e-07,6.7e-07,6.3e-07,6.5e-07,1577680.0,1.01993719,356
1697587200000,2023-10-18,FIOBTC,6.9e-07,7.3e-07,6.5e-07,6.6e-07,5182892.0,3.52433336,884
