https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LINA,Volume USDT,tradecount
1701216000000,2023-11-29,LINAUSDT,0.010556,0.01103,0.010264,0.010324,360341830.25,3819530.04074603,36511
1701129600000,2023-11-28,LINAUSDT,0.010701,0.010828,0.0102,0.010556,305912542.83,3194781.11447532,35243
1701043200000,2023-11-27,LINAUSDT,0.010586,0.010749,0.010241,0.010687,422376976.8,4447168.15792842,47678
1700956800000,2023-11-26,LINAUSDT,0.010946,0.010999,0.010251,0.010582,287111644.41,3054361.87844515,27997
1700870400000,2023-11-25,LINAUSDT,0.01069,0.011101,0.010596,0.010946,307498420.0,3354995.87063814,33093
1700784000000,2023-11-24,LINAUSDT,0.010537,0.010849,0.010472,0.010691,321655609.06,3432764.02194182,33203
1700697600000,2023-11-23,LINAUSDT,0.010375,0.010625,0.010248,0.010537,205679130.0,2150150.95574134,22809
1700611200000,2023-11-22,LINAUSDT,0.009634,0.010461,0.009556,0.010373,239772034.45,2417594.90043147,20846
1700524800000,2023-11-21,LINAUSDT,0.010809,0.010878,0.009447,0.009627,673260207.75,6793818.89265675,66306
1700438400000,2023-11-20,LINAUSDT,0.010666,0.011466,0.010241,0.010806,547488229.64,5900593.33842781,43745
1700352000000,2023-11-19,LINAUSDT,0.010362,0.010705,0.010107,0.010655,238771623.87,2495081.19309316,17484
1700265600000,2023-11-18,LINAUSDT,0.010541,0.010541,0.00985,0.010367,323726625.22,3322374.90559054,23577
1700179200000,2023-11-17,LINAUSDT,0.010962,0.0113,0.010156,0.010547,429553036.87,4588440.76625948,35653
1700092800000,2023-11-16,LINAUSDT,0.012161,0.012394,0.010731,0.01096,860945632.96,9914152.41922747,73038
1700006400000,2023-11-15,LINAUSDT,0.011543,0.012797,0.0115,0.01215,926342693.4,11218383.47977785,72994
1699920000000,2023-11-14,LINAUSDT,0.011577,0.012479,0.010577,0.011543,853105791.98,9981798.60290788,76314
1699833600000,2023-11-13,LINAUSDT,0.011652,0.0126,0.01105,0.011578,1602024155.26,18984951.12968558,126393
1699747200000,2023-11-12,LINAUSDT,0.011125,0.011835,0.010533,0.011662,758168916.8,8416208.21671953,56174
1699660800000,2023-11-11,LINAUSDT,0.010678,0.012193,0.010279,0.011125,1739550421.23,19436259.82389739,117035
1699574400000,2023-11-10,LINAUSDT,0.010037,0.010698,0.009602,0.010668,775220432.22,7834476.84260062,45373
1699488000000,2023-11-09,LINAUSDT,0.010687,0.011152,0.0093,0.010037,1077922429.87,11082518.5295993,66842
1699401600000,2023-11-08,LINAUSDT,0.010414,0.01079,0.010266,0.010689,373944300.83,3949781.91251493,27249
1699315200000,2023-11-07,LINAUSDT,0.010512,0.01079,0.009766,0.010414,574818362.22,5909362.96978778,37949
1699228800000,2023-11-06,LINAUSDT,0.009951,0.010761,0.009887,0.01052,477782321.27,4936783.14792528,28358
1699142400000,2023-11-05,LINAUSDT,0.010153,0.010395,0.009789,0.00995,411894516.26,4164835.49712617,23261
1699056000000,2023-11-04,LINAUSDT,0.009939,0.01028,0.00986,0.010149,328985841.07,3313654.31373374,19770
1698969600000,2023-11-03,LINAUSDT,0.009732,0.009984,0.0093,0.009939,395850075.06,3826668.02376973,24544
1698883200000,2023-11-02,LINAUSDT,0.010255,0.010665,0.009695,0.00973,442437875.98,4499668.88241289,27265
1698796800000,2023-11-01,LINAUSDT,0.010298,0.010326,0.00965,0.010248,590214633.3,5885204.91556726,41842
1698710400000,2023-10-31,LINAUSDT,0.011257,0.011636,0.00988,0.010298,650025289.65,6949163.72359237,43782
1698624000000,2023-10-30,LINAUSDT,0.010602,0.011571,0.010455,0.011256,719358382.3,7910684.6684479,48135
1698537600000,2023-10-29,LINAUSDT,0.010454,0.010891,0.010225,0.010602,301126720.83,3198863.99456906,22438
1698451200000,2023-10-28,LINAUSDT,0.010315,0.010731,0.010293,0.010454,213890275.06,2244645.33539546,17217
1698364800000,2023-10-27,LINAUSDT,0.010135,0.010735,0.009821,0.010323,501751889.99,5184861.98655128,33184
1698278400000,2023-10-26,LINAUSDT,0.010425,0.01077,0.009648,0.010131,779967180.76,7999516.65349457,47119
1698192000000,2023-10-25,LINAUSDT,0.009865,0.010559,0.009544,0.010438,966818496.77,9751797.41251214,51019
1698105600000,2023-10-24,LINAUSDT,0.009146,0.010976,0.00902,0.009857,2253824322.13,22417337.45888606,115605
1698019200000,2023-10-23,LINAUSDT,0.008794,0.00922,0.00868,0.009147,701698486.16,6249169.07873768,30883
1697932800000,2023-10-22,LINAUSDT,0.008763,0.009093,0.008512,0.008787,387560550.0,3416115.69220603,23175
1697846400000,2023-10-21,LINAUSDT,0.008332,0.008849,0.008207,0.008762,558695652.34,4789739.11825216,27086
1697760000000,2023-10-20,LINAUSDT,0.008349,0.008428,0.008119,0.008331,682365841.6,5660656.32237407,32408
1697673600000,2023-10-19,LINAUSDT,0.008947,0.008977,0.008228,0.008354,416345347.24,3532989.12530683,21284
1697587200000,2023-10-18,LINAUSDT,0.009418,0.009531,0.008925,0.008947,322308736.01,2974332.17945323,16252
1697500800000,2023-10-17,LINAUSDT,0.009835,0.009876,0.009345,0.00942,278181343.12,2680525.303028,17715
1697414400000,2023-10-16,LINAUSDT,0.009794,0.010343,0.009774,0.009835,267280133.23,2668135.25584637,19145
1697328000000,2023-10-15,LINAUSDT,0.009963,0.010049,0.009633,0.009793,235495038.64,2316820.74046162,14505
1697241600000,2023-10-14,LINAUSDT,0.009933,0.0101,0.009736,0.009963,254110201.54,2533816.90959663,14793
1697155200000,2023-10-13,LINAUSDT,0.009711,0.010048,0.009675,0.009932,235900465.47,2325585.84692989,15103
1697068800000,2023-10-12,LINAUSDT,0.009662,0.009796,0.009404,0.00971,285710163.0,2740184.07709764,18192
1696982400000,2023-10-11,LINAUSDT,0.009344,0.009664,0.009026,0.009663,328542762.92,3058964.93084761,19030
1696896000000,2023-10-10,LINAUSDT,0.009502,0.009636,0.00912,0.009355,309526180.51,2915240.33252713,19591
1696809600000,2023-10-09,LINAUSDT,0.010003,0.010054,0.009113,0.009501,347857727.72,3338703.19228172,22646
1696723200000,2023-10-08,LINAUSDT,0.010042,0.010242,0.009923,0.010003,293508288.04,2952886.24150094,16447
1696636800000,2023-10-07,LINAUSDT,0.009995,0.010057,0.009831,0.010046,208063761.43,2069624.90787371,12087
1696550400000,2023-10-06,LINAUSDT,0.010309,0.01051,0.009733,0.009996,731054865.76,7324022.20555192,37816
1696464000000,2023-10-05,LINAUSDT,0.010565,0.010648,0.010303,0.010321,194779671.7,2046329.19117225,9969
1696377600000,2023-10-04,LINAUSDT,0.010557,0.010625,0.010132,0.010565,201601181.53,2107692.6588669,11418
1696291200000,2023-10-03,LINAUSDT,0.010762,0.010912,0.010529,0.010563,206125644.37,2208577.51168432,10507
1696204800000,2023-10-02,LINAUSDT,0.011273,0.01139,0.01055,0.010753,318530336.41,3517158.19135987,16042
1696118400000,2023-10-01,LINAUSDT,0.010843,0.011347,0.010755,0.011269,337503314.79,3738644.14905597,15038
1696032000000,2023-09-30,LINAUSDT,0.010965,0.011332,0.010819,0.01084,342508741.24,3776236.09284762,14335
1695945600000,2023-09-29,LINAUSDT,0.010834,0.011038,0.010722,0.010959,265984189.28,2901763.35086212,12029
1695859200000,2023-09-28,LINAUSDT,0.010542,0.010848,0.010505,0.010834,221846260.28,2371004.539594,11109
1695772800000,2023-09-27,LINAUSDT,0.010659,0.010886,0.010339,0.010542,405758546.43,4318195.33106406,17454
1695686400000,2023-09-26,LINAUSDT,0.010877,0.011014,0.010556,0.010659,303524830.01,3282208.56191459,10859
1695600000000,2023-09-25,LINAUSDT,0.01058,0.010974,0.010503,0.01088,306043187.49,3305777.27147984,12696
1695513600000,2023-09-24,LINAUSDT,0.010971,0.010984,0.01041,0.01058,284459641.45,3054254.91467777,14695
1695427200000,2023-09-23,LINAUSDT,0.011331,0.011468,0.0107,0.010967,711811468.63,7800286.54447732,29290
1695340800000,2023-09-22,LINAUSDT,0.011465,0.011968,0.010792,0.011328,1386827016.24,15610011.50035408,60153
1695254400000,2023-09-21,LINAUSDT,0.010973,0.0124,0.010478,0.011465,1857284600.75,20943605.26903359,85904
1695168000000,2023-09-20,LINAUSDT,0.010773,0.011004,0.010465,0.010971,388319963.07,4187199.82246568,16179
1695081600000,2023-09-19,LINAUSDT,0.010465,0.010899,0.010381,0.010772,252834887.23,2710598.75801193,11919
1694995200000,2023-09-18,LINAUSDT,0.010272,0.010698,0.010122,0.01047,229612727.31,2407513.7385479,10243
1694908800000,2023-09-17,LINAUSDT,0.010807,0.010819,0.010116,0.010271,288666949.02,3022304.81963348,12242
1694822400000,2023-09-16,LINAUSDT,0.010922,0.011099,0.010565,0.010811,307539668.79,3324111.02129853,13049
1694736000000,2023-09-15,LINAUSDT,0.010675,0.010922,0.01043,0.01091,268385192.22,2858754.47388449,10966
1694649600000,2023-09-14,LINAUSDT,0.010351,0.010915,0.010349,0.010668,527461942.43,5642818.39330663,20549
1694563200000,2023-09-13,LINAUSDT,0.010099,0.010511,0.010071,0.010346,300352211.57,3098310.32819961,11828
1694476800000,2023-09-12,LINAUSDT,0.010094,0.010456,0.009972,0.010097,377707234.03,3861646.80104771,15998
1694390400000,2023-09-11,LINAUSDT,0.010262,0.010461,0.009734,0.0101,632645502.65,6374269.20876957,28206
1694304000000,2023-09-10,LINAUSDT,0.010619,0.010619,0.00982,0.01026,431131791.23,4393413.31595097,20244
1694217600000,2023-09-09,LINAUSDT,0.0108,0.010933,0.010474,0.010625,348542486.64,3735020.78528725,15329
1694131200000,2023-09-08,LINAUSDT,0.010718,0.011298,0.010595,0.0108,826733090.87,9010296.98373591,37504
1694044800000,2023-09-07,LINAUSDT,0.01056,0.010746,0.010263,0.010718,341773812.6,3592719.36830512,14212
1693958400000,2023-09-06,LINAUSDT,0.010643,0.010771,0.010229,0.010565,476694211.2,5002701.18583098,20802
1693872000000,2023-09-05,LINAUSDT,0.010253,0.010783,0.010077,0.010643,586431927.14,6126467.37948491,24298
