https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume POLY,Volume BTC,tradecount
1665360000000,2022-10-10,POLYBTC,1.347e-05,1.402e-05,1.341e-05,1.384e-05,449552.0,6.17434124,1756
1665273600000,2022-10-09,POLYBTC,1.304e-05,1.453e-05,1.295e-05,1.351e-05,1721857.0,23.73349002,7154
1665187200000,2022-10-08,POLYBTC,1.333e-05,1.373e-05,1.292e-05,1.306e-05,696810.0,9.21104268,1594
1665100800000,2022-10-07,POLYBTC,1.335e-05,1.369e-05,1.302e-05,1.334e-05,956902.0,12.72977644,2991
1665014400000,2022-10-06,POLYBTC,1.262e-05,1.376e-05,1.258e-05,1.337e-05,1871244.0,24.6967738,5230
1664928000000,2022-10-05,POLYBTC,1.299e-05,1.301e-05,1.227e-05,1.263e-05,567052.0,7.13988906,1590
1664841600000,2022-10-04,POLYBTC,1.287e-05,1.397e-05,1.267e-05,1.3e-05,1665219.0,22.09942496,4627
1664755200000,2022-10-03,POLYBTC,1.204e-05,1.325e-05,1.204e-05,1.285e-05,2397400.0,30.64014404,7672
1664668800000,2022-10-02,POLYBTC,1.247e-05,1.254e-05,1.201e-05,1.206e-05,324323.0,3.97988239,915
1664582400000,2022-10-01,POLYBTC,1.25e-05,1.293e-05,1.227e-05,1.247e-05,871146.0,10.98067125,2557
1664496000000,2022-09-30,POLYBTC,1.276e-05,1.313e-05,1.201e-05,1.248e-05,1416378.0,17.61570912,4220
1664409600000,2022-09-29,POLYBTC,1.345e-05,1.374e-05,1.25e-05,1.278e-05,2575091.0,33.69195047,5973
1664323200000,2022-09-28,POLYBTC,1.349e-05,1.517e-05,1.283e-05,1.339e-05,7325040.0,104.2168668,17485
1664236800000,2022-09-27,POLYBTC,1.295e-05,1.427e-05,1.204e-05,1.348e-05,9238949.0,122.40969711,20745
1664150400000,2022-09-26,POLYBTC,1.129e-05,1.482e-05,1.066e-05,1.294e-05,14955390.0,191.51724576,32633
1664064000000,2022-09-25,POLYBTC,1.199e-05,1.22e-05,1.111e-05,1.129e-05,2363199.0,27.51000231,3483
1663977600000,2022-09-24,POLYBTC,1.042e-05,1.256e-05,1.042e-05,1.197e-05,11463568.0,133.61482728,14864
1663891200000,2022-09-23,POLYBTC,1.037e-05,1.1e-05,1.023e-05,1.042e-05,1404735.0,14.75540973,2855
