https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume STMX,Volume BUSD,tradecount
1694736000000,2023-09-15,STMXBUSD,0.006115,0.0065,0.00573,0.005851,17443446.0,108338.489864,805
1694649600000,2023-09-14,STMXBUSD,0.004773,0.006417,0.004773,0.006116,139188260.0,805544.542956,6125
1694563200000,2023-09-13,STMXBUSD,0.00456,0.004786,0.004525,0.004734,6760107.0,31409.228491,315
1694476800000,2023-09-12,STMXBUSD,0.004547,0.004611,0.004496,0.004572,3600200.0,16421.390513,252
1694390400000,2023-09-11,STMXBUSD,0.004749,0.004758,0.004464,0.004545,8662041.0,39570.091819,454
1694304000000,2023-09-10,STMXBUSD,0.00483,0.004942,0.004674,0.004739,13866523.0,65991.138805,565
1694217600000,2023-09-09,STMXBUSD,0.00486,0.004876,0.004809,0.004831,6723855.0,32499.352893,220
1694131200000,2023-09-08,STMXBUSD,0.004808,0.004895,0.004759,0.004882,8563327.0,41360.175874,329
1694044800000,2023-09-07,STMXBUSD,0.004797,0.004869,0.004709,0.00482,8844653.0,42234.140485,261
1693958400000,2023-09-06,STMXBUSD,0.004839,0.004916,0.004721,0.004821,7196362.0,34566.909201,309
1693872000000,2023-09-05,STMXBUSD,0.004918,0.004918,0.004672,0.004819,8082912.0,38692.762577,336
1693785600000,2023-09-04,STMXBUSD,0.005092,0.005143,0.004836,0.00493,21185014.0,104198.03669,669
1693699200000,2023-09-03,STMXBUSD,0.004679,0.00545,0.004679,0.00509,140751634.0,712088.20429,5433
1693612800000,2023-09-02,STMXBUSD,0.004624,0.004679,0.00442,0.004647,11058881.0,49824.820615,378
1693526400000,2023-09-01,STMXBUSD,0.004758,0.004872,0.004605,0.004645,10161099.0,48107.441348,335
1693440000000,2023-08-31,STMXBUSD,0.00499,0.00499,0.004701,0.004751,15128021.0,73837.13398,386
1693353600000,2023-08-30,STMXBUSD,0.005148,0.005148,0.004963,0.004999,11575231.0,58301.527005,313
1693267200000,2023-08-29,STMXBUSD,0.005121,0.005206,0.004865,0.005182,29232446.0,147721.457743,789
1693180800000,2023-08-28,STMXBUSD,0.005359,0.005359,0.005053,0.005134,20979925.0,107982.042752,526
1693094400000,2023-08-27,STMXBUSD,0.00519,0.005522,0.00519,0.005381,32676644.0,176187.837046,1275
1693008000000,2023-08-26,STMXBUSD,0.005148,0.005286,0.005138,0.00516,13008096.0,67695.228149,334
1692921600000,2023-08-25,STMXBUSD,0.00523,0.005251,0.005011,0.005155,32798028.0,167707.748644,800
1692835200000,2023-08-24,STMXBUSD,0.005359,0.005383,0.005204,0.005259,26755422.0,141196.987184,821
1692748800000,2023-08-23,STMXBUSD,0.005297,0.005427,0.005165,0.005361,91687454.0,483709.867959,2385
1692662400000,2023-08-22,STMXBUSD,0.005463,0.00564,0.005064,0.005313,36079471.0,191455.31944,1406
1692576000000,2023-08-21,STMXBUSD,0.005248,0.00567,0.005246,0.005457,73494610.0,400376.250191,3272
1692489600000,2023-08-20,STMXBUSD,0.005275,0.005446,0.005142,0.005225,14731098.0,78260.966845,797
1692403200000,2023-08-19,STMXBUSD,0.005262,0.005378,0.005185,0.005279,35789369.0,188800.437804,1537
1692316800000,2023-08-18,STMXBUSD,0.004882,0.005306,0.004732,0.005274,128912489.0,647287.297873,3720
1692230400000,2023-08-17,STMXBUSD,0.005724,0.005751,0.004004,0.004878,87663576.0,457400.512989,2231
1692144000000,2023-08-16,STMXBUSD,0.006515,0.006526,0.005646,0.005724,110407514.0,662362.707632,2918
1692057600000,2023-08-15,STMXBUSD,0.006719,0.006842,0.006333,0.006526,76878237.0,510980.793281,4683
