https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BNB,tradecount
1701129600000,2023-11-28,ADABNB,0.001661,0.001685,0.001637,0.001679,646688.7,1073.561313,1461
1701043200000,2023-11-27,ADABNB,0.001672,0.001689,0.001651,0.001663,676374.7,1132.4529899,1807
1700956800000,2023-11-26,ADABNB,0.001681,0.001693,0.001656,0.001674,420354.5,703.2437284,1217
1700870400000,2023-11-25,ADABNB,0.00166,0.001695,0.001652,0.001683,759403.3,1271.3325423,1419
1700784000000,2023-11-24,ADABNB,0.001657,0.001695,0.001645,0.001659,976944.8,1624.7650272,2614
1700697600000,2023-11-23,ADABNB,0.00161,0.00166,0.001599,0.001657,2339338.0,3837.4962268,3557
1700611200000,2023-11-22,ADABNB,0.001581,0.001631,0.001554,0.001611,1188378.5,1886.9519998,3571
1700524800000,2023-11-21,ADABNB,0.001501,0.001595,0.001386,0.001579,5140756.3,7588.9437122,14989
1700438400000,2023-11-20,ADABNB,0.00156,0.001611,0.001462,0.001503,1652687.3,2546.9573856,6372
1700352000000,2023-11-19,ADABNB,0.001544,0.001564,0.001522,0.00156,478637.1,737.4761889,2054
1700265600000,2023-11-18,ADABNB,0.001496,0.001545,0.001463,0.001541,366164.2,548.071989,2000
1700179200000,2023-11-17,ADABNB,0.001528,0.001544,0.00148,0.001499,521453.0,788.8788539,2498
1700092800000,2023-11-16,ADABNB,0.001493,0.001616,0.001483,0.001529,1468560.3,2280.6552282,6443
1700006400000,2023-11-15,ADABNB,0.001475,0.001511,0.00145,0.001493,426489.2,628.7428715,2206
1699920000000,2023-11-14,ADABNB,0.001481,0.00151,0.001449,0.001476,689050.7,1018.6485868,2828
1699833600000,2023-11-13,ADABNB,0.001548,0.001554,0.00147,0.001481,491727.9,743.8861765,2824
1699747200000,2023-11-12,ADABNB,0.001526,0.001569,0.001512,0.001549,541023.7,832.5331464,2290
1699660800000,2023-11-11,ADABNB,0.001538,0.001558,0.0015,0.001528,1069817.2,1636.5019166,3837
1699574400000,2023-11-10,ADABNB,0.001463,0.001551,0.001451,0.001537,844711.0,1252.5415,3383
1699488000000,2023-11-09,ADABNB,0.001451,0.00153,0.001426,0.001464,1258490.6,1865.4654398,4962
1699401600000,2023-11-08,ADABNB,0.001426,0.001466,0.00142,0.00145,640045.7,924.5416308,2030
1699315200000,2023-11-07,ADABNB,0.001421,0.001449,0.001378,0.001428,682658.7,961.4472179,2830
1699228800000,2023-11-06,ADABNB,0.001404,0.001482,0.001391,0.001421,1343268.1,1920.8488113,4094
1699142400000,2023-11-05,ADABNB,0.001383,0.001444,0.001361,0.001402,1038899.5,1458.3670822,2973
1699056000000,2023-11-04,ADABNB,0.00143,0.001433,0.001367,0.001383,727406.7,1009.3983979,1684
1698969600000,2023-11-03,ADABNB,0.001394,0.001429,0.001366,0.001429,969241.4,1354.6374966,3356
