https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume KMD,Volume USDT,tradecount
1700179200000,2023-11-17,KMDUSDT,0.2471,0.2512,0.2358,0.2435,1157408.0,281044.0533,3903
1700092800000,2023-11-16,KMDUSDT,0.2515,0.2579,0.2415,0.2477,2181085.0,543696.41,6240
1700006400000,2023-11-15,KMDUSDT,0.2372,0.259,0.2367,0.2515,2853364.0,713096.0311,8031
1699920000000,2023-11-14,KMDUSDT,0.2394,0.2433,0.2298,0.2379,2663625.0,629179.5716,7074
1699833600000,2023-11-13,KMDUSDT,0.2581,0.265,0.2385,0.2393,5270816.0,1328410.5941,11371
1699747200000,2023-11-12,KMDUSDT,0.2463,0.2759,0.2427,0.2576,9102414.0,2375705.5239,18360
1699660800000,2023-11-11,KMDUSDT,0.2488,0.2498,0.2446,0.2463,1668786.0,413538.0222,4188
1699574400000,2023-11-10,KMDUSDT,0.2446,0.2491,0.2362,0.249,2737150.0,664507.2465,7137
1699488000000,2023-11-09,KMDUSDT,0.2455,0.2515,0.2352,0.2446,3453377.0,845153.2871,8365
1699401600000,2023-11-08,KMDUSDT,0.2397,0.2475,0.2374,0.2454,1174829.0,286938.1414,4047
1699315200000,2023-11-07,KMDUSDT,0.244,0.2465,0.2346,0.2394,1293350.0,310290.1903,3998
1699228800000,2023-11-06,KMDUSDT,0.2413,0.2452,0.2358,0.2444,1065752.0,257621.7958,3892
1699142400000,2023-11-05,KMDUSDT,0.2472,0.2487,0.2273,0.2414,4450450.0,1060073.272,10049
1699056000000,2023-11-04,KMDUSDT,0.24,0.2529,0.2395,0.2479,2573866.0,635546.4162,7009
1698969600000,2023-11-03,KMDUSDT,0.2382,0.2418,0.2345,0.2401,1212914.0,288738.2779,3306
1698883200000,2023-11-02,KMDUSDT,0.2397,0.242,0.2344,0.2384,1288835.0,307078.5702,3630
1698796800000,2023-11-01,KMDUSDT,0.2356,0.2397,0.2309,0.2397,931212.0,218608.3706,2938
1698710400000,2023-10-31,KMDUSDT,0.2374,0.239,0.2293,0.2356,1077262.0,251657.0269,3239
1698624000000,2023-10-30,KMDUSDT,0.2343,0.242,0.2319,0.2375,1461544.0,347410.4586,3669
1698537600000,2023-10-29,KMDUSDT,0.2344,0.2376,0.2318,0.2341,972604.0,228348.8514,2674
1698451200000,2023-10-28,KMDUSDT,0.229,0.2371,0.2285,0.2348,1418167.0,329407.9814,3194
1698364800000,2023-10-27,KMDUSDT,0.2326,0.2348,0.2273,0.2296,1413624.0,325699.2455,3295
1698278400000,2023-10-26,KMDUSDT,0.2274,0.2358,0.2251,0.2327,2425147.0,559391.3433,5990
1698192000000,2023-10-25,KMDUSDT,0.2251,0.2391,0.222,0.2273,5835862.0,1347359.0513,10799
1698105600000,2023-10-24,KMDUSDT,0.2225,0.2317,0.2205,0.2251,3676967.0,829884.5103,6623
1698019200000,2023-10-23,KMDUSDT,0.2176,0.2242,0.2152,0.2225,1460434.0,320559.3163,3609
1697932800000,2023-10-22,KMDUSDT,0.2179,0.2198,0.213,0.2173,697267.0,150950.0768,1831
1697846400000,2023-10-21,KMDUSDT,0.216,0.2205,0.2154,0.2178,623603.0,135739.7668,1876
1697760000000,2023-10-20,KMDUSDT,0.2118,0.2175,0.2111,0.216,737981.0,158059.7058,2240
1697673600000,2023-10-19,KMDUSDT,0.2159,0.2204,0.2059,0.2119,2047581.0,435607.3796,5144
1697587200000,2023-10-18,KMDUSDT,0.2168,0.2318,0.2122,0.2157,3765857.0,832821.887,9472
1697500800000,2023-10-17,KMDUSDT,0.2218,0.2222,0.2117,0.2162,1304512.0,281391.0188,3403
