https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MANA,Volume BTC,tradecount
1700524800000,2023-11-21,MANABTC,1.122e-05,1.14e-05,1.03e-05,1.053e-05,1115516.0,12.0881082,5223
1700438400000,2023-11-20,MANABTC,1.152e-05,1.166e-05,1.116e-05,1.122e-05,775586.0,8.88477442,3187
1700352000000,2023-11-19,MANABTC,1.141e-05,1.159e-05,1.118e-05,1.151e-05,479317.0,5.47289231,3576
1700265600000,2023-11-18,MANABTC,1.167e-05,1.167e-05,1.093e-05,1.141e-05,859303.0,9.68749005,3561
1700179200000,2023-11-17,MANABTC,1.191e-05,1.217e-05,1.125e-05,1.167e-05,917957.0,10.73771365,5130
1700092800000,2023-11-16,MANABTC,1.194e-05,1.228e-05,1.178e-05,1.191e-05,1190916.0,14.39710153,4872
1700006400000,2023-11-15,MANABTC,1.199e-05,1.237e-05,1.18e-05,1.193e-05,1139415.0,13.8028866,4241
1699920000000,2023-11-14,MANABTC,1.22e-05,1.227e-05,1.151e-05,1.2e-05,1138562.0,13.59275145,4905
1699833600000,2023-11-13,MANABTC,1.259e-05,1.32e-05,1.212e-05,1.219e-05,1939786.0,24.78442781,7872
1699747200000,2023-11-12,MANABTC,1.266e-05,1.284e-05,1.217e-05,1.257e-05,2401037.0,30.15871639,7844
1699660800000,2023-11-11,MANABTC,1.162e-05,1.364e-05,1.119e-05,1.265e-05,3564253.0,44.9337246,13886
1699574400000,2023-11-10,MANABTC,1.139e-05,1.19e-05,1.116e-05,1.163e-05,1395991.0,16.18261292,7351
1699488000000,2023-11-09,MANABTC,1.198e-05,1.21e-05,1.036e-05,1.139e-05,2662137.0,30.78737126,8891
1699401600000,2023-11-08,MANABTC,1.176e-05,1.209e-05,1.164e-05,1.198e-05,798693.0,9.46740621,3711
1699315200000,2023-11-07,MANABTC,1.209e-05,1.247e-05,1.153e-05,1.176e-05,1729902.0,20.88942244,6552
1699228800000,2023-11-06,MANABTC,1.151e-05,1.229e-05,1.147e-05,1.209e-05,1549006.0,18.66138124,7254
1699142400000,2023-11-05,MANABTC,1.16e-05,1.202e-05,1.125e-05,1.152e-05,2031014.0,23.49329945,7384
1699056000000,2023-11-04,MANABTC,1.152e-05,1.171e-05,1.137e-05,1.16e-05,837086.0,9.66199679,3665
1698969600000,2023-11-03,MANABTC,1.153e-05,1.161e-05,1.118e-05,1.152e-05,1313723.0,14.96845961,6331
1698883200000,2023-11-02,MANABTC,1.074e-05,1.183e-05,1.074e-05,1.154e-05,3783201.0,43.42297457,14074
1698796800000,2023-11-01,MANABTC,1.049e-05,1.088e-05,1.024e-05,1.073e-05,1112690.0,11.68546009,6434
1698710400000,2023-10-31,MANABTC,1.097e-05,1.1e-05,1.024e-05,1.049e-05,1066011.0,11.32119976,5656
1698624000000,2023-10-30,MANABTC,1.1e-05,1.128e-05,1.072e-05,1.096e-05,1549353.0,16.99997837,5213
1698537600000,2023-10-29,MANABTC,1.031e-05,1.167e-05,1.011e-05,1.099e-05,2014585.0,22.03798042,8399
1698451200000,2023-10-28,MANABTC,1.003e-05,1.035e-05,1.001e-05,1.031e-05,552963.0,5.62747562,4134
1698364800000,2023-10-27,MANABTC,1.034e-05,1.034e-05,9.98e-06,1.003e-05,905051.0,9.19971844,5317
1698278400000,2023-10-26,MANABTC,1.006e-05,1.056e-05,9.88e-06,1.032e-05,1834041.0,18.76673301,5657
1698192000000,2023-10-25,MANABTC,1.034e-05,1.041e-05,9.85e-06,1.005e-05,1614453.0,16.31553232,4550
1698105600000,2023-10-24,MANABTC,9.87e-06,1.04e-05,9.66e-06,1.038e-05,2417869.0,24.13455692,8743
1698019200000,2023-10-23,MANABTC,1.018e-05,1.022e-05,9.22e-06,9.87e-06,1558596.0,15.36395366,5234
